SKU;Producto / Descripción;Cantidad;Coste Unit. (€);Total (€)
HW-LAP-001;Portátil ProBook 15" i7 16GB RAM;5;850,00;4.250,00
HW-MON-024;Monitor LED 24" Full HD Antirreflejo;10;120,50;1.205,00
PE-KEY-101;Teclado Mecánico Inalámbrico ES;10;45,00;450,00
PE-MOU-202;Ratón Ergonómico Vertical USB;10;25,90;259,00
AC-CBL-HD3;Cable HDMI 2.1 Ultra High Speed (3m);25;8,50;212,50
AC-HUB-USBC;Hub USB-C 7-en-1 (HDMI, USB, SD);8;35,00;280,00
ST-SSD-1TB;Disco Duro SSD NVMe M.2 1TB;15;65,00;975,00
ST-HDD-4TB;Disco Duro Externo HDD 4TB USB 3.0;4;95,00;380,00
NET-RTR-WIFI;Router WiFi 6 Mesh Dual Band;3;140,00;420,00
NET-SW-24P;Switch Gigabit Ethernet 24 Puertos;2;110,00;220,00
NET-CBL-CAT6;Bobina Cable Ethernet Cat6 (305m);2;89,90;179,80
PR-LAS-MFP;Impresora Láser Multifunción BN;2;210,00;420,00
PR-TNR-BK;Cartucho de Tóner Negro Alta Capacidad;6;55,00;330,00
AV-CAM-4K;Webcam 4K con Enfoque Automático;5;75,00;375,00
AV-HSET-NC;Auriculares con Cancelación de Ruido;8;60,00;480,00
OF-SUP-LAP;Soporte Elevador de Aluminio para Portátil;10;22,50;225,00
OF-PAD-XL;Alfombrilla de Escritorio XL (90x40cm);12;15,00;180,00
SW-WIN-11P;Licencia OEM Windows 11 Pro;5;135,00;675,00
SW-OFF-HB;Licencia Office Hogar y Empresas 2024;5;249,00;1.245,00
AC-UPS-850;SAI/UPS 850VA con 4 tomas Schuko;4;85,00;340,00
